Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
C#,selectionsort,50000,13.378479,5.651306,0.022949,67.396,0.67285
Go,bubblesort,25000,3.333191,1.186340,0.010742,55.096,0.185023
Go,bubblesort,50000,3.775818,1.455017,0.008301,55.2,0.201676
Go,cyclesort,25000,3.255798,1.214233,0.008118,54.94,0.175996
Go,cyclesort,50000,3.629944,1.243042,0.014832,57.104,0.204799
Go,heapsort,25000,3.648804,1.461365,0.013000,56.516,0.186036
Go,heapsort,50000,3.681213,1.276917,0.008179,54.628,0.208824
Go,insertionsort,25000,3.637329,1.371887,0.008484,56.78,0.194662
Go,insertionsort,50000,4.075134,1.496155,0.008179,56.968,0.223208
Go,mergesort,25000,3.007629,1.207275,0.008423,56.664,0.15509
Go,mergesort,50000,3.770752,1.425476,0.009827,54.988,0.201924
Go,oddevensort,25000,3.440857,1.374512,0.007507,58.828,0.178154
Go,oddevensort,50000,3.865173,1.432800,0.007385,55.216,0.209495
Go,quicksort,25000,3.567139,1.439087,0.008362,57.148,0.182517
Go,quicksort,50000,3.690735,1.356445,0.020874,56.588,0.200255
Go,selectionsort,25000,3.356873,1.359985,0.015259,54.816,0.170902
Go,selectionsort,50000,3.214661,1.148071,0.008484,55.3,0.177455
Haskell,bubblesort,25000,283.460144,117.539185,0.128723,603.448,14.2495
Haskell,bubblesort,50000,575.066589,238.543152,0.236694,1067.04,28.8959
Haskell,cyclesort,25000,539.890320,223.645996,0.193420,699.356,27.1434
Haskell,cyclesort,50000,1096.074036,453.552307,0.414673,1306.728,55.0912
Haskell,heapsort,25000,288.536560,119.574463,0.136353,631.98,14.5012
Haskell,heapsort,50000,571.684998,236.792480,0.245117,1098.512,28.7323
Haskell,insertionsort,25000,283.017212,117.100037,0.147095,668.272,14.2291
Haskell,insertionsort,50000,572.174377,237.136414,0.237488,1137.272,28.7415
Haskell,mergesort,25000,288.900269,119.606567,0.127075,687.584,14.528
Haskell,mergesort,50000,563.652710,233.135925,0.236267,1052.656,28.3295
Haskell,oddevensort,25000,268.971680,111.404785,0.136902,671.948,13.5153
Haskell,oddevensort,50000,541.727173,224.427063,0.232117,1115.612,27.22
Haskell,quicksort,25000,279.273865,115.676941,0.149658,607.96,14.0344
Haskell,quicksort,50000,566.414795,234.653687,0.223816,1002.52,28.4755
